RegionName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021
"Columbia, SC","$183,048.00 ","$181,888.00 ","$181,140.00 ","$187,139.00 ","$191,299.00 ","$195,966.00 ","$199,633.00 ","$201,650.00 ","$202,967.00 ","$202,865.00 ","$203,215.00 ","$201,898.00 ","$201,833.00 ","$200,833.00 ","$204,167.00 ","$211,470.00 ","$218,136.00 ","$225,205.00 ","$223,736.00 ","$227,069.00 "
"Greensboro, NC","$161,333.00 ","$164,000.00 ","$169,000.00 ","$174,333.00 ","$175,000.00 ","$177,333.00 ","$182,750.00 ","$187,750.00 ","$188,167.00 ","$186,083.00 ","$185,750.00 ","$186,667.00 ","$185,667.00 ","$182,036.00 ","$183,369.00 ","$189,369.00 ","$186,667.00 ","$180,667.00 ","$169,000.00 ","$168,333.00 "
"Akron, OH","$150,467.00 ","$148,300.00 ","$150,967.00 ","$157,000.00 ","$161,667.00 ","$162,333.00 ","$165,925.00 ","$167,758.00 ","$171,058.00 ","$172,300.00 ","$172,433.00 ","$165,383.00 ","$156,217.00 ","$149,583.00 ","$150,000.00 ","$156,667.00 ","$163,333.00 ","$170,667.00 ","$175,667.00 ","$178,667.00 "
"North Port-Sarasota-Bradenton, FL","$287,233.00 ","$284,397.00 ","$280,464.00 ","$284,064.00 ","$287,900.00 ","$288,833.00 ","$293,081.00 ","$296,748.00 ","$299,748.00 ","$299,667.00 ","$303,583.00 ","$311,250.00 ","$314,583.00 ","$318,332.00 ","$326,332.00 ","$334,665.00 ","$343,667.00 ","$350,000.00 ","$361,667.00 ","$366,663.00 "
"Little Rock, AR","$168,147.00 ","$165,287.00 ","$169,620.00 ","$176,307.00 ","$180,000.00 ","$181,000.00 ","$181,833.00 ","$186,000.00 ","$187,750.00 ","$187,750.00 ","$187,750.00 ","$188,333.00 ","$186,000.00 ","$183,375.00 ","$183,058.00 ","$190,392.00 ","$197,017.00 ","$202,333.00 ","$204,333.00 ","$205,333.00 "
"Stockton, CA","$417,833.00 ","$425,083.00 ","$426,750.00 ","$433,083.00 ","$435,333.00 ","$443,000.00 ","$445,417.00 ","$447,833.00 ","$446,833.00 ","$448,083.00 ","$451,250.00 ","$452,917.00 ","$454,583.00 ","$457,000.00 ","$468,167.00 ","$482,667.00 ","$493,667.00 ","$504,167.00 ","$504,667.00 ","$506,667.00 "
"Charleston, SC","$283,929.00 ","$290,262.00 ","$291,888.00 ","$293,717.00 ","$292,050.00 ","$291,783.00 ","$297,700.00 ","$308,533.00 ","$318,046.00 ","$320,546.00 ","$320,424.00 ","$324,291.00 ","$323,274.00 ","$325,753.00 ","$331,840.00 ","$342,013.00 ","$353,490.00 ","$357,657.00 ","$357,667.00 ","$354,033.00 "
"Syracuse, NY","$147,333.00 ","$147,333.00 ","$144,867.00 ","$147,450.00 ","$150,783.00 ","$156,083.00 ","$158,833.00 ","$165,167.00 ","$168,000.00 ","$169,667.00 ","$166,333.00 ","$163,333.00 ","$160,150.00 ","$155,150.00 ","$153,757.00 ","$158,607.00 ","$164,982.00 ","$169,708.00 ","$173,108.00 ","$179,145.00 "
"Colorado Springs, CO","$330,733.00 ","$335,233.00 ","$342,917.00 ","$349,027.00 ","$352,527.00 ","$352,527.00 ","$360,000.00 ","$368,333.00 ","$375,333.00 ","$377,000.00 ","$379,333.00 ","$378,333.00 ","$377,333.00 ","$382,667.00 ","$392,317.00 ","$404,983.00 ","$416,983.00 ","$432,333.00 ","$444,000.00 ","$446,333.00 "
"Winston-Salem, NC","$176,000.00 ","$172,833.00 ","$171,167.00 ","$181,000.00 ","$185,333.00 ","$190,333.00 ","$195,333.00 ","$199,500.00 ","$202,833.00 ","$200,833.00 ","$201,167.00 ","$199,500.00 ","$195,000.00 ","$192,833.00 ","$192,833.00 ","$195,667.00 ","$190,000.00 ","$181,667.00 ","$172,667.00 ","$168,333.00 "
