RegionName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
"Omaha, NE","$168,667.00 ","$166,000.00 ","$166,000.00 ","$166,667.00 ","$173,833.00 ","$178,833.00 ","$180,500.00 ","$179,333.00 ","$178,333.00 ","$177,667.00 ","$177,667.00 ","$174,333.00 ","$176,667.00 ","$176,667.00 ","$178,000.00 ","$178,333.00 ","$181,667.00 ","$187,667.00 ","$194,000.00 ","$193,792.00 ","$193,125.00 ","$191,792.00 ","$192,000.00 ","$192,000.00 ","$190,833.00 ","$191,167.00 ","$191,250.00 ","$192,083.00 ","$197,917.00 ","$202,833.00 ","$207,833.00 ","$206,667.00 ","$203,500.00 ","$200,167.00 ","$196,833.00 ","$195,000.00 "
"New Haven, CT","$208,333.00 ","$206,333.00 ","$201,333.00 ","$195,717.00 ","$200,717.00 ","$216,050.00 ","$227,333.00 ","$232,354.00 ","$223,354.00 ","$219,688.00 ","$213,000.00 ","$210,667.00 ","$212,333.00 ","$207,333.00 ","$207,667.00 ","$207,633.00 ","$217,633.00 ","$229,967.00 ","$236,333.00 ","$240,667.00 ","$233,667.00 ","$230,000.00 ","$219,433.00 ","$217,767.00 ","$210,767.00 ","$212,000.00 ","$209,000.00 ","$211,667.00 ","$217,958.00 ","$229,958.00 ","$238,292.00 ","$240,583.00 ","$235,250.00 ","$230,250.00 ","$225,000.00 ","$223,333.00 "
"Bakersfield, CA","$215,917.00 ","$212,167.00 ","$210,500.00 ","$218,083.00 ","$219,583.00 ","$222,917.00 ","$223,667.00 ","$227,333.00 ","$229,333.00 ","$227,500.00 ","$228,500.00 ","$228,833.00 ","$228,250.00 ","$228,083.00 ","$227,167.00 ","$229,583.00 ","$231,417.00 ","$233,333.00 ","$236,667.00 ","$238,333.00 ","$239,333.00 ","$237,667.00 ","$234,333.00 ","$231,667.00 ","$230,750.00 ","$231,083.00 ","$235,083.00 ","$237,667.00 ","$242,333.00 ","$246,667.00 ","$250,000.00 ","$251,667.00 ","$250,000.00 ","$250,667.00 ","$252,333.00 ","$252,333.00 "
"Knoxville, TN","$164,050.00 ","$160,300.00 ","$161,633.00 ","$164,750.00 ","$170,417.00 ","$174,350.00 ","$177,600.00 ","$180,597.00 ","$180,663.00 ","$180,630.00 ","$179,950.00 ","$180,617.00 ","$177,317.00 ","$177,300.00 ","$179,031.00 ","$183,738.00 ","$187,088.00 ","$189,690.00 ","$195,133.00 ","$195,150.00 ","$193,583.00 ","$193,433.00 ","$199,533.00 ","$201,627.00 ","$199,043.00 ","$192,752.00 ","$191,373.00 ","$195,623.00 ","$203,481.00 ","$210,225.00 ","$213,892.00 ","$214,528.00 ","$215,303.00 ","$212,637.00 ","$214,000.00 ","$214,667.00 "
"Greenville, SC","$177,583.00 ","$176,917.00 ","$178,943.00 ","$180,027.00 ","$184,193.00 ","$188,833.00 ","$192,250.00 ","$193,083.00 ","$189,750.00 ","$188,167.00 ","$187,000.00 ","$189,000.00 ","$189,314.00 ","$188,814.00 ","$189,481.00 ","$190,667.00 ","$195,667.00 ","$199,998.00 ","$203,914.00 ","$201,707.00 ","$199,709.00 ","$196,959.00 ","$198,828.00 ","$201,978.00 ","$204,478.00 ","$205,817.00 ","$204,333.00 ","$206,833.00 ","$211,658.00 ","$216,625.00 ","$219,125.00 ","$219,523.00 ","$216,557.00 ","$215,473.00 ","$212,436.00 ","$212,069.00 "
"Ventura, CA","$538,667.00 ","$537,750.00 ","$543,250.00 ","$557,207.00 ","$566,623.00 ","$573,873.00 ","$571,583.00 ","$573,083.00 ","$570,000.00 ","$570,000.00 ","$578,667.00 ","$583,167.00 ","$592,167.00 ","$580,167.00 ","$577,333.00 ","$575,000.00 ","$586,333.00 ","$601,333.00 ","$601,833.00 ","$600,333.00 ","$598,667.00 ","$606,500.00 ","$605,333.00 ","$598,667.00 ","$584,000.00 ","$577,833.00 ","$577,833.00 ","$589,167.00 ","$598,333.00 ","$598,333.00 ","$596,491.00 ","$598,158.00 ","$601,491.00 ","$603,333.00 ","$601,333.00 ","$598,167.00 "
"Allentown, PA","$175,925.00 ","$172,800.00 ","$169,500.00 ","$171,667.00 ","$175,667.00 ","$182,300.00 ","$186,633.00 ","$192,633.00 ","$190,428.00 ","$189,428.00 ","$183,095.00 ","$183,667.00 ","$182,917.00 ","$179,217.00 ","$177,800.00 ","$178,550.00 ","$187,250.00 ","$193,667.00 ","$198,667.00 ","$203,300.00 ","$199,633.00 ","$198,830.00 ","$193,863.00 ","$194,667.00 ","$190,470.00 ","$185,803.00 ","$183,667.00 ","$187,000.00 ","$193,333.00 ","$200,667.00 ","$207,333.00 ","$212,333.00 ","$213,167.00 ","$209,667.00 ","$205,000.00 ","$201,833.00 "
"El Paso, TX","$149,510.00 ","$149,160.00 ","$147,133.00 ","$146,550.00 ","$148,217.00 ","$149,217.00 ","$151,225.00 ","$152,575.00 ","$151,925.00 ","$151,250.00 ","$151,083.00 ","$153,833.00 ","$153,883.00 ","$152,383.00 ","$151,633.00 ","$153,533.00 ","$154,867.00 ","$154,946.00 ","$156,729.00 ","$157,379.00 ","$157,275.00 ","$156,125.00 ","$156,792.00 ","$158,308.00 ","$155,775.00 ","$157,958.00 ","$157,450.00 ","$160,142.00 ","$160,142.00 ","$161,483.00 ","$164,742.00 ","$164,908.00 ","$165,883.00 ","$165,283.00 ","$166,700.00 ","$168,050.00 "
"Baton Rouge, LA","$176,043.00 ","$177,542.00 ","$181,432.00 ","$187,098.00 ","$188,850.00 ","$192,517.00 ","$195,217.00 ","$197,600.00 ","$197,300.00 ","$198,967.00 ","$198,500.00 ","$199,500.00 ","$194,723.00 ","$196,890.00 ","$196,190.00 ","$198,967.00 ","$200,133.00 ","$201,167.00 ","$203,184.00 ","$202,684.00 ","$205,018.00 ","$204,000.00 ","$205,883.00 ","$203,633.00 ","$204,967.00 ","$201,250.00 ","$200,467.00 ","$199,133.00 ","$203,617.00 ","$210,817.00 ","$214,481.00 ","$212,831.00 ","$210,298.00 ","$209,933.00 ","$211,600.00 ","$212,720.00 "
"Dayton, OH","$127,167.00 ","$123,500.00 ","$125,383.00 ","$127,633.00 ","$128,133.00 ","$132,833.00 ","$132,817.00 ","$136,283.00 ","$133,617.00 ","$135,300.00 ","$134,633.00 ","$133,267.00 ","$126,600.00 ","$125,933.00 ","$125,300.00 ","$132,967.00 ","$136,000.00 ","$143,333.00 ","$147,333.00 ","$146,667.00 ","$144,317.00 ","$139,317.00 ","$137,650.00 ","$136,000.00 ","$131,250.00 ","$131,250.00 ","$129,583.00 ","$136,000.00 ","$139,333.00 ","$147,667.00 ","$150,500.00 ","$152,167.00 ","$149,833.00 ","$147,000.00 ","$145,100.00 ","$141,217.00 "
