RegionName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
"New York, NY","$386,000.00 ","$387,000.00 ","$387,000.00 ","$390,333.00 ","$395,000.00 ","$406,667.00 ","$420,000.00 ","$426,667.00 ","$425,000.00 ","$412,333.00 ","$404,000.00 ","$399,000.00 ","$400,000.00 ","$400,000.00 ","$400,000.00 ","$401,667.00 ","$406,333.00 ","$414,667.00 ","$424,667.00 ","$431,667.00 ","$431,333.00 ","$423,000.00 ","$415,500.00 ","$410,167.00 ","$410,167.00 ","$409,333.00 ","$407,500.00 ","$407,500.00 ","$410,833.00 ","$421,667.00 ","$431,667.00 ","$435,667.00 ","$432,333.00 ","$425,667.00 ","$421,667.00 ","$420,000.00 "
"Los Angeles-Long Beach-Anaheim, CA","$571,833.00 ","$570,167.00 ","$577,498.00 ","$589,165.00 ","$602,498.00 ","$609,667.00 ","$615,000.00 ","$617,917.00 ","$619,583.00 ","$616,250.00 ","$616,667.00 ","$616,333.00 ","$613,000.00 ","$616,000.00 ","$622,000.00 ","$634,500.00 ","$643,167.00 ","$650,500.00 ","$654,667.00 ","$654,167.00 ","$649,500.00 ","$646,500.00 ","$644,000.00 ","$639,667.00 ","$632,667.00 ","$628,833.00 ","$633,167.00 ","$643,931.00 ","$649,098.00 ","$653,431.00 ","$661,000.00 ","$662,667.00 ","$661,667.00 ","$654,167.00 ","$652,667.00 ","$654,333.00 "
"Chicago, IL","$211,333.00 ","$211,333.00 ","$216,200.00 ","$224,867.00 ","$234,833.00 ","$241,800.00 ","$243,467.00 ","$240,900.00 ","$233,400.00 ","$225,733.00 ","$221,667.00 ","$221,167.00 ","$221,167.00 ","$222,000.00 ","$225,833.00 ","$232,833.00 ","$239,667.00 ","$244,667.00 ","$246,000.00 ","$243,333.00 ","$237,000.00 ","$230,333.00 ","$227,000.00 ","$225,000.00 ","$224,333.00 ","$224,667.00 ","$228,667.00 ","$236,000.00 ","$244,000.00 ","$249,333.00 ","$251,000.00 ","$249,333.00 ","$243,333.00 ","$238,333.00 ","$235,000.00 ","$234,333.00 "
"Dallas-Fort Worth, TX","$236,500.00 ","$239,000.00 ","$242,333.00 ","$249,667.00 ","$256,667.00 ","$261,333.00 ","$261,643.00 ","$259,583.00 ","$254,917.00 ","$252,940.00 ","$250,633.00 ","$253,716.00 ","$252,383.00 ","$253,417.00 ","$255,333.00 ","$261,667.00 ","$268,333.00 ","$273,333.00 ","$276,167.00 ","$273,500.00 ","$266,833.00 ","$261,467.00 ","$258,467.00 ","$260,100.00 ","$257,600.00 ","$257,933.00 ","$259,193.00 ","$265,823.00 ","$272,823.00 ","$277,355.00 ","$280,092.00 ","$278,425.00 ","$274,333.00 ","$271,667.00 ","$270,000.00 ","$271,833.00 "
"Philadelphia, PA","$226,333.00 ","$221,333.00 ","$217,667.00 ","$222,000.00 ","$231,000.00 ","$243,633.00 ","$249,300.00 ","$250,967.00 ","$243,000.00 ","$236,667.00 ","$231,667.00 ","$232,000.00 ","$229,000.00 ","$226,500.00 ","$225,167.00 ","$229,500.00 ","$237,000.00 ","$243,367.00 ","$248,367.00 ","$251,700.00 ","$249,967.00 ","$244,633.00 ","$239,267.00 ","$237,300.00 ","$235,933.00 ","$231,300.00 ","$231,884.00 ","$236,584.00 ","$245,918.00 ","$255,000.00 ","$262,667.00 ","$266,633.00 ","$260,633.00 ","$253,300.00 ","$248,333.00 ","$249,000.00 "
"Houston, TX","$218,333.00 ","$217,000.00 ","$217,740.00 ","$223,574.00 ","$228,574.00 ","$231,833.00 ","$232,667.00 ","$231,667.00 ","$229,333.00 ","$228,332.00 ","$227,332.00 ","$226,332.00 ","$223,500.00 ","$223,164.00 ","$224,164.00 ","$231,328.00 ","$237,330.00 ","$241,330.00 ","$242,307.00 ","$240,974.00 ","$237,060.00 ","$233,171.00 ","$231,408.00 ","$234,583.00 ","$233,058.00 ","$232,155.00 ","$232,227.00 ","$238,333.00 ","$244,333.00 ","$249,000.00 ","$250,667.00 ","$251,000.00 ","$247,333.00 ","$243,967.00 ","$242,933.00 ","$245,449.00 "
"Washington, DC","$378,124.00 ","$377,791.00 ","$373,084.00 ","$381,874.00 ","$394,540.00 ","$405,895.00 ","$408,648.00 ","$405,948.00 ","$397,596.00 ","$388,929.00 ","$384,291.00 ","$389,329.00 ","$388,662.00 ","$388,300.00 ","$388,300.00 ","$398,967.00 ","$410,000.00 ","$416,333.00 ","$418,667.00 ","$416,000.00 ","$409,333.00 ","$401,333.00 ","$397,967.00 ","$401,633.00 ","$399,633.00 ","$398,000.00 ","$398,000.00 ","$407,012.00 ","$417,897.00 ","$422,897.00 ","$425,885.00 ","$423,331.00 ","$414,998.00 ","$409,964.00 ","$409,967.00 ","$416,967.00 "
"Miami-Fort Lauderdale, FL","$255,000.00 ","$253,333.00 ","$252,500.00 ","$255,867.00 ","$260,533.00 ","$268,033.00 ","$272,000.00 ","$275,667.00 ","$272,333.00 ","$268,333.00 ","$266,667.00 ","$267,333.00 ","$269,000.00 ","$267,333.00 ","$269,500.00 ","$272,833.00 ","$278,500.00 ","$282,333.00 ","$285,000.00 ","$284,333.00 ","$281,000.00 ","$280,000.00 ","$280,667.00 ","$281,550.00 ","$278,800.00 ","$277,300.00 ","$279,750.00 ","$283,167.00 ","$286,929.00 ","$289,429.00 ","$295,096.00 ","$297,167.00 ","$295,333.00 ","$295,000.00 ","$298,333.00 ","$301,000.00 "
"Atlanta, GA","$210,667.00 ","$210,667.00 ","$211,667.00 ","$217,000.00 ","$222,023.00 ","$225,566.00 ","$227,566.00 ","$226,543.00 ","$223,167.00 ","$221,000.00 ","$221,167.00 ","$225,433.00 ","$225,765.00 ","$227,432.00 ","$228,665.00 ","$234,833.00 ","$241,000.00 ","$245,333.00 ","$246,333.00 ","$243,667.00 ","$242,000.00 ","$241,233.00 ","$241,900.00 ","$241,867.00 ","$241,132.00 ","$240,798.00 ","$242,165.00 ","$246,333.00 ","$253,667.00 ","$259,000.00 ","$263,667.00 ","$262,750.00 ","$260,733.00 ","$257,400.00 ","$257,983.00 ","$260,000.00 "
"Boston, MA","$398,833.00 ","$393,833.00 ","$398,333.00 ","$401,667.00 ","$415,000.00 ","$425,550.00 ","$434,717.00 ","$436,383.00 ","$428,500.00 ","$421,000.00 ","$419,333.00 ","$421,667.00 ","$422,500.00 ","$420,833.00 ","$424,800.00 ","$436,300.00 ","$447,967.00 ","$462,333.00 ","$470,000.00 ","$473,333.00 ","$458,333.00 ","$445,000.00 ","$437,333.00 ","$434,333.00 ","$436,333.00 ","$433,233.00 ","$437,900.00 ","$441,633.00 ","$458,233.00 ","$474,900.00 ","$484,833.00 ","$484,000.00 ","$472,333.00 ","$461,667.00 ","$454,000.00 ","$457,333.00 "
"San Francisco, CA","$673,333.00 ","$668,417.00 ","$685,750.00 ","$732,417.00 ","$760,667.00 ","$775,000.00 ","$768,333.00 ","$761,667.00 ","$750,000.00 ","$756,333.00 ","$769,500.00 ","$772,833.00 ","$748,250.00 ","$740,083.00 ","$765,083.00 ","$813,000.00 ","$844,667.00 ","$859,667.00 ","$855,000.00 ","$835,000.00 ","$805,833.00 ","$802,500.00 ","$802,500.00 ","$798,000.00 ","$763,000.00 ","$756,333.00 ","$767,000.00 ","$810,333.00 ","$835,333.00 ","$853,333.00 ","$839,367.00 ","$821,033.00 ","$796,367.00 ","$803,313.00 ","$809,851.00 ","$816,184.00 "
"Detroit, MI","$163,633.00 ","$160,300.00 ","$158,467.00 ","$164,833.00 ","$172,833.00 ","$181,167.00 ","$183,833.00 ","$185,833.00 ","$181,667.00 ","$180,000.00 ","$175,667.00 ","$176,333.00 ","$171,333.00 ","$169,000.00 ","$168,333.00 ","$171,667.00 ","$179,967.00 ","$186,633.00 ","$192,300.00 ","$192,958.00 ","$188,625.00 ","$184,625.00 ","$180,333.00 ","$178,500.00 ","$174,500.00 ","$172,241.00 ","$173,408.00 ","$177,408.00 ","$186,667.00 ","$193,333.00 ","$200,433.00 ","$200,433.00 ","$200,433.00 ","$197,333.00 ","$194,000.00 ","$189,833.00 "
"Riverside, CA","$326,333.00 ","$328,000.00 ","$329,667.00 ","$336,333.00 ","$339,667.00 ","$343,333.00 ","$346,667.00 ","$349,667.00 ","$348,667.00 ","$347,000.00 ","$347,333.00 ","$350,000.00 ","$352,417.00 ","$357,417.00 ","$359,917.00 ","$364,417.00 ","$366,083.00 ","$368,583.00 ","$371,150.00 ","$370,317.00 ","$371,050.00 ","$368,400.00 ","$371,233.00 ","$370,500.00 ","$368,667.00 ","$366,667.00 ","$368,500.00 ","$374,583.00 ","$376,250.00 ","$376,083.00 ","$376,333.00 ","$377,333.00 ","$378,997.00 ","$379,330.00 ","$382,497.00 ","$384,167.00 "
"Phoenix, AZ","$242,883.00 ","$242,831.00 ","$242,831.00 ","$244,901.00 ","$246,967.00 ","$250,633.00 ","$253,333.00 ","$254,667.00 ","$254,330.00 ","$255,830.00 ","$257,163.00 ","$258,778.00 ","$258,615.00 ","$260,932.00 ","$262,654.00 ","$264,175.00 ","$266,698.00 ","$270,031.00 ","$274,465.00 ","$274,482.00 ","$274,482.00 ","$274,524.00 ","$275,667.00 ","$277,298.00 ","$277,298.00 ","$276,631.00 ","$275,667.00 ","$277,333.00 ","$281,748.00 ","$285,081.00 ","$287,719.00 ","$288,305.00 ","$289,972.00 ","$293,000.00 ","$294,663.00 ","$296,996.00 "
"Seattle, WA","$395,120.00 ","$394,833.00 ","$397,167.00 ","$414,023.00 ","$427,443.00 ","$440,683.00 ","$443,466.00 ","$443,713.00 ","$441,593.00 ","$441,662.00 ","$442,995.00 ","$447,542.00 ","$444,500.00 ","$449,956.00 ","$455,862.00 ","$478,267.00 ","$487,716.00 ","$491,810.00 ","$485,462.00 ","$478,873.00 ","$470,472.00 ","$463,915.00 ","$462,265.00 ","$463,333.00 ","$460,000.00 ","$465,000.00 ","$476,333.00 ","$491,333.00 ","$503,000.00 ","$506,667.00 ","$506,667.00 ","$500,000.00 ","$491,333.00 ","$490,500.00 ","$491,242.00 ","$501,108.00 "
"Minneapolis-St Paul, MN","$230,267.00 ","$227,267.00 ","$228,983.00 ","$234,758.00 ","$241,425.00 ","$248,246.00 ","$250,505.00 ","$253,421.00 ","$251,135.00 ","$248,802.00 ","$245,886.00 ","$246,300.00 ","$246,007.00 ","$247,340.00 ","$249,699.00 ","$254,958.00 ","$259,958.00 ","$262,633.00 ","$265,000.00 ","$264,983.00 ","$264,950.00 ","$264,950.00 ","$265,967.00 ","$265,967.00 ","$264,300.00 ","$262,615.00 ","$266,648.00 ","$272,281.00 ","$279,283.00 ","$282,283.00 ","$283,983.00 ","$284,333.00 ","$282,300.00 ","$281,600.00 ","$280,600.00 ","$280,633.00 "
"San Diego, CA","$508,000.00 ","$508,000.00 ","$514,667.00 ","$522,000.00 ","$535,333.00 ","$543,667.00 ","$550,000.00 ","$551,667.00 ","$548,333.00 ","$546,417.00 ","$547,417.00 ","$551,750.00 ","$551,417.00 ","$550,250.00 ","$553,917.00 ","$567,833.00 ","$579,667.00 ","$586,667.00 ","$590,000.00 ","$594,167.00 ","$594,500.00 ","$589,500.00 ","$586,167.00 ","$578,917.00 ","$577,250.00 ","$571,417.00 ","$575,000.00 ","$577,667.00 ","$581,000.00 ","$587,667.00 ","$590,000.00 ","$596,667.00 ","$590,000.00 ","$591,000.00 ","$593,333.00 ","$595,333.00 "
"St. Louis, MO","$165,133.00 ","$164,167.00 ","$163,833.00 ","$166,333.00 ","$172,000.00 ","$178,000.00 ","$183,000.00 ","$182,467.00 ","$180,783.00 ","$176,317.00 ","$176,183.00 ","$174,533.00 ","$172,333.00 ","$170,000.00 ","$169,833.00 ","$174,833.00 ","$180,500.00 ","$185,667.00 ","$188,333.00 ","$187,667.00 ","$184,271.00 ","$180,438.00 ","$177,105.00 ","$177,300.00 ","$177,000.00 ","$176,983.00 ","$176,850.00 ","$179,317.00 ","$186,000.00 ","$194,333.00 ","$198,667.00 ","$200,333.00 ","$194,500.00 ","$192,500.00 ","$189,451.00 ","$191,268.00 "
"Tampa, FL","$193,667.00 ","$192,000.00 ","$192,300.00 ","$196,300.00 ","$201,967.00 ","$206,667.00 ","$211,748.00 ","$212,748.00 ","$211,415.00 ","$208,333.00 ","$210,000.00 ","$211,667.00 ","$211,667.00 ","$209,667.00 ","$210,300.00 ","$214,359.00 ","$218,025.00 ","$222,059.00 ","$224,667.00 ","$225,700.00 ","$224,367.00 ","$222,700.00 ","$224,333.00 ","$225,950.00 ","$225,950.00 ","$224,950.00 ","$223,667.00 ","$225,333.00 ","$227,000.00 ","$231,000.00 ","$235,000.00 ","$237,667.00 ","$236,667.00 ","$236,000.00 ","$235,667.00 ","$239,000.00 "
"Baltimore, MD","$273,188.00 ","$268,333.00 ","$265,000.00 ","$269,167.00 ","$279,167.00 ","$289,704.00 ","$295,538.00 ","$295,204.00 ","$291,333.00 ","$286,333.00 ","$284,000.00 ","$283,408.00 ","$280,075.00 ","$272,742.00 ","$271,333.00 ","$276,333.00 ","$287,667.00 ","$294,667.00 ","$299,761.00 ","$301,761.00 ","$301,728.00 ","$299,042.00 ","$298,370.00 ","$295,903.00 ","$289,161.00 ","$283,500.00 ","$282,667.00 ","$288,667.00 ","$296,500.00 ","$304,800.00 ","$314,450.00 ","$315,448.00 ","$313,815.00 ","$309,165.00 ","$306,667.00 ","$305,000.00 "
"Denver, CO","$362,715.00 ","$366,049.00 ","$371,577.00 ","$379,900.00 ","$386,567.00 ","$392,000.00 ","$392,333.00 ","$390,000.00 ","$383,333.00 ","$382,000.00 ","$382,000.00 ","$388,000.00 ","$392,967.00 ","$402,133.00 ","$408,133.00 ","$416,500.00 ","$421,667.00 ","$425,000.00 ","$423,333.00 ","$421,544.00 ","$416,000.00 ","$413,167.00 ","$409,956.00 ","$410,500.00 ","$408,664.00 ","$408,647.00 ","$411,981.00 ","$418,317.00 ","$426,333.00 ","$429,667.00 ","$433,000.00 ","$431,667.00 ","$430,000.00 ","$428,333.00 ","$427,667.00 ","$427,667.00 "
"Pittsburgh, PA","$149,667.00 ","$147,333.00 ","$147,650.00 ","$150,900.00 ","$158,400.00 ","$164,750.00 ","$169,167.00 ","$169,300.00 ","$165,967.00 ","$163,000.00 ","$161,350.00 ","$159,683.00 ","$156,983.00 ","$154,333.00 ","$157,667.00 ","$161,167.00 ","$165,333.00 ","$171,000.00 ","$174,833.00 ","$176,667.00 ","$171,967.00 ","$166,800.00 ","$163,467.00 ","$162,833.00 ","$162,333.00 ","$161,333.00 ","$162,309.00 ","$166,309.00 ","$171,976.00 ","$179,000.00 ","$184,000.00 ","$188,000.00 ","$183,000.00 ","$179,200.00 ","$174,867.00 ","$174,867.00 "
"Portland, OR","$339,649.00 ","$339,000.00 ","$344,333.00 ","$351,000.00 ","$361,667.00 ","$368,468.00 ","$373,468.00 ","$374,452.00 ","$372,650.00 ","$370,983.00 ","$367,871.00 ","$367,868.00 ","$371,201.00 ","$375,130.00 ","$378,467.00 ","$381,633.00 ","$388,167.00 ","$395,000.00 ","$395,917.00 ","$397,583.00 ","$392,417.00 ","$390,667.00 ","$386,667.00 ","$385,000.00 ","$382,667.00 ","$384,000.00 ","$387,333.00 ","$392,333.00 ","$398,333.00 ","$403,333.00 ","$406,667.00 ","$405,483.00 ","$403,483.00 ","$402,983.00 ","$404,167.00 ","$404,500.00 "
"Charlotte, NC","$218,167.00 ","$213,667.00 ","$216,333.00 ","$223,000.00 ","$229,650.00 ","$235,900.00 ","$238,567.00 ","$239,083.00 ","$234,500.00 ","$232,833.00 ","$234,000.00 ","$239,983.00 ","$238,317.00 ","$238,817.00 ","$236,423.00 ","$242,756.00 ","$247,256.00 ","$253,000.00 ","$253,333.00 ","$254,377.00 ","$249,377.00 ","$249,043.00 ","$249,767.00 ","$254,767.00 ","$252,433.00 ","$250,667.00 ","$250,333.00 ","$256,667.00 ","$263,333.00 ","$269,000.00 ","$273,417.00 ","$273,083.00 ","$271,083.00 ","$268,000.00 ","$266,833.00 ","$269,000.00 "
"Sacramento, CA","$355,417.00 ","$354,083.00 ","$357,833.00 ","$364,833.00 ","$374,833.00 ","$381,667.00 ","$387,500.00 ","$387,833.00 ","$387,833.00 ","$390,333.00 ","$391,667.00 ","$392,333.00 ","$386,667.00 ","$388,167.00 ","$390,833.00 ","$400,167.00 ","$405,333.00 ","$410,333.00 ","$411,667.00 ","$410,000.00 ","$408,333.00 ","$405,000.00 ","$406,000.00 ","$402,667.00 ","$399,083.00 ","$398,083.00 ","$401,417.00 ","$411,667.00 ","$418,333.00 ","$425,000.00 ","$427,333.00 ","$427,333.00 ","$424,000.00 ","$420,000.00 ","$419,833.00 ","$421,500.00 "
"San Antonio, TX","$201,000.00 ","$200,648.00 ","$199,148.00 ","$204,482.00 ","$209,583.00 ","$215,383.00 ","$216,717.00 ","$216,633.00 ","$214,075.00 ","$211,575.00 ","$211,572.00 ","$215,830.00 ","$217,874.00 ","$216,210.00 ","$214,543.00 ","$216,666.00 ","$223,000.00 ","$227,000.00 ","$230,200.00 ","$230,533.00 ","$226,533.00 ","$224,000.00 ","$221,333.00 ","$222,667.00 ","$220,333.00 ","$219,667.00 ","$220,000.00 ","$223,300.00 ","$228,467.00 ","$232,827.00 ","$236,193.00 ","$236,027.00 ","$233,750.00 ","$233,083.00 ","$231,375.00 ","$232,625.00 "
"Orlando, FL","$227,832.00 ","$227,517.00 ","$229,683.00 ","$232,600.00 ","$234,167.00 ","$237,000.00 ","$238,000.00 ","$239,667.00 ","$239,667.00 ","$240,333.00 ","$241,667.00 ","$241,973.00 ","$244,972.00 ","$244,972.00 ","$245,213.00 ","$245,360.00 ","$248,694.00 ","$251,479.00 ","$253,333.00 ","$254,667.00 ","$255,100.00 ","$255,100.00 ","$255,433.00 ","$256,667.00 ","$257,667.00 ","$259,333.00 ","$259,663.00 ","$259,997.00 ","$261,663.00 ","$266,300.00 ","$269,967.00 ","$272,600.00 ","$271,047.00 ","$270,961.00 ","$269,994.00 ","$274,449.00 "
"Cincinnati, OH","$159,300.00 ","$156,383.00 ","$156,383.00 ","$158,717.00 ","$163,300.00 ","$168,348.00 ","$171,682.00 ","$174,998.00 ","$172,983.00 ","$170,400.00 ","$169,083.00 ","$169,650.00 ","$168,900.00 ","$166,900.00 ","$168,500.00 ","$172,333.00 ","$177,333.00 ","$180,167.00 ","$181,667.00 ","$182,317.00 ","$178,800.00 ","$175,467.00 ","$174,650.00 ","$174,167.00 ","$172,167.00 ","$169,667.00 ","$172,000.00 ","$177,667.00 ","$184,167.00 ","$189,500.00 ","$193,833.00 ","$193,282.00 ","$191,616.00 ","$187,949.00 ","$187,967.00 ","$188,967.00 "
"Cleveland, OH","$129,808.00 ","$128,475.00 ","$127,658.00 ","$131,517.00 ","$137,450.00 ","$144,267.00 ","$149,233.00 ","$148,300.00 ","$146,633.00 ","$144,167.00 ","$144,167.00 ","$142,500.00 ","$138,333.00 ","$134,292.00 ","$133,542.00 ","$137,875.00 ","$142,125.00 ","$146,875.00 ","$148,125.00 ","$149,583.00 ","$148,750.00 ","$146,467.00 ","$143,133.00 ","$139,633.00 ","$139,667.00 ","$138,000.00 ","$140,000.00 ","$141,500.00 ","$149,000.00 ","$155,667.00 ","$161,483.00 ","$162,317.00 ","$158,633.00 ","$155,067.00 ","$151,733.00 ","$150,417.00 "
"Kansas City, MO","$182,033.00 ","$183,283.00 ","$184,417.00 ","$190,000.00 ","$198,017.00 ","$207,017.00 ","$211,767.00 ","$210,667.00 ","$205,333.00 ","$200,000.00 ","$198,000.00 ","$198,000.00 ","$200,000.00 ","$199,833.00 ","$203,167.00 ","$208,167.00 ","$215,000.00 ","$219,667.00 ","$221,333.00 ","$219,000.00 ","$212,833.00 ","$210,167.00 ","$209,500.00 ","$209,333.00 ","$208,500.00 ","$206,500.00 ","$210,500.00 ","$216,667.00 ","$226,667.00 ","$233,598.00 ","$234,798.00 ","$233,132.00 ","$228,467.00 ","$223,600.00 ","$220,267.00 ","$220,667.00 "
"Las Vegas, NV","$233,245.00 ","$238,245.00 ","$243,545.00 ","$246,167.00 ","$247,833.00 ","$251,167.00 ","$255,000.00 ","$258,333.00 ","$261,667.00 ","$263,000.00 ","$264,667.00 ","$268,000.00 ","$268,667.00 ","$272,000.00 ","$273,015.00 ","$279,348.00 ","$283,681.00 ","$286,820.00 ","$286,820.00 ","$287,154.00 ","$291,310.00 ","$294,644.00 ","$297,644.00 ","$298,333.00 ","$300,000.00 ","$300,666.00 ","$300,000.00 ","$299,333.00 ","$297,667.00 ","$297,663.00 ","$298,330.00 ","$302,163.00 ","$305,500.00 ","$307,167.00 ","$308,000.00 ","$307,793.00 "
"Columbus, OH","$175,083.00 ","$172,217.00 ","$172,217.00 ","$174,800.00 ","$182,600.00 ","$188,933.00 ","$192,650.00 ","$190,717.00 ","$187,050.00 ","$186,667.00 ","$186,500.00 ","$191,500.00 ","$192,833.00 ","$195,272.00 ","$193,605.00 ","$193,938.00 ","$196,000.00 ","$203,950.00 ","$206,783.00 ","$206,450.00 ","$200,567.00 ","$198,300.00 ","$196,933.00 ","$198,533.00 ","$196,517.00 ","$196,550.00 ","$196,883.00 ","$205,000.00 ","$213,700.00 ","$221,033.00 ","$222,667.00 ","$218,967.00 ","$212,883.00 ","$211,233.00 ","$209,633.00 ","$210,433.00 "
"Indianapolis, IN","$153,250.00 ","$152,917.00 ","$154,133.00 ","$159,767.00 ","$166,100.00 ","$170,300.00 ","$173,148.00 ","$171,367.00 ","$168,033.00 ","$166,718.00 ","$166,833.00 ","$167,850.00 ","$165,350.00 ","$164,350.00 ","$166,667.00 ","$172,917.00 ","$179,250.00 ","$185,583.00 ","$187,667.00 ","$186,300.00 ","$181,600.00 ","$179,267.00 ","$179,967.00 ","$181,171.00 ","$179,504.00 ","$177,171.00 ","$177,000.00 ","$182,667.00 ","$189,333.00 ","$196,667.00 ","$201,333.00 ","$204,667.00 ","$201,300.00 ","$199,633.00 ","$195,967.00 ","$197,667.00 "
"San Jose, CA","$823,333.00 ","$825,000.00 ","$855,000.00 ","$893,333.00 ","$928,000.00 ","$941,333.00 ","$947,500.00 ","$942,833.00 ","$946,167.00 ","$951,667.00 ","$971,500.00 ","$976,500.00 ","$969,000.00 ","$999,167.00 ","$1,074,167.00 ","$1,143,333.00 ","$1,176,667.00 ","$1,160,000.00 ","$1,140,833.00 ","$1,120,917.00 ","$1,082,250.00 ","$1,084,750.00 ","$1,056,333.00 ","$1,038,917.00 ","$999,750.00 ","$988,083.00 ","$1,014,167.00 ","$1,046,667.00 ","$1,080,000.00 ","$1,100,000.00 ","$1,101,667.00 ","$1,073,333.00 ","$1,033,333.00 ","$1,005,000.00 ","$1,014,167.00 ","$1,009,167.00 "
"Austin, TX","$284,527.00 ","$283,979.00 ","$284,868.00 ","$293,424.00 ","$299,599.00 ","$305,380.00 ","$305,000.00 ","$301,000.00 ","$294,000.00 ","$290,429.00 ","$289,763.00 ","$294,468.00 ","$296,352.00 ","$299,352.00 ","$297,946.00 ","$304,633.00 ","$310,633.00 ","$318,015.00 ","$318,015.00 ","$319,015.00 ","$312,500.00 ","$309,167.00 ","$302,167.00 ","$303,333.00 ","$300,833.00 ","$299,150.00 ","$300,900.00 ","$308,400.00 ","$321,450.00 ","$328,033.00 ","$329,460.00 ","$326,426.00 ","$321,863.00 ","$321,812.00 ","$317,812.00 ","$320,561.00 "
"Virginia Beach, VA","$235,900.00 ","$234,107.00 ","$232,290.00 ","$236,823.00 ","$239,283.00 ","$246,867.00 ","$248,998.00 ","$249,998.00 ","$243,498.00 ","$240,167.00 ","$238,467.00 ","$238,467.00 ","$236,800.00 ","$238,333.00 ","$239,692.00 ","$241,358.00 ","$245,525.00 ","$250,000.00 ","$253,333.00 ","$250,000.00 ","$246,500.00 ","$244,833.00 ","$244,333.00 ","$243,133.00 ","$238,100.00 ","$238,600.00 ","$237,467.00 ","$244,167.00 ","$249,167.00 ","$256,667.00 ","$261,667.00 ","$261,667.00 ","$260,500.00 ","$255,500.00 ","$252,133.00 ","$251,300.00 "
"Nashville, TN","$240,721.00 ","$241,633.00 ","$243,675.00 ","$247,789.00 ","$254,489.00 ","$260,560.00 ","$265,113.00 ","$266,780.00 ","$266,000.00 ","$264,000.00 ","$264,667.00 ","$267,333.00 ","$268,667.00 ","$269,134.00 ","$268,134.00 ","$271,801.00 ","$276,196.00 ","$282,162.00 ","$287,796.00 ","$289,267.00 ","$282,633.00 ","$278,650.00 ","$276,617.00 ","$283,250.00 ","$282,504.00 ","$282,204.00 ","$281,904.00 ","$285,648.00 ","$292,648.00 ","$299,615.00 ","$303,967.00 ","$305,633.00 ","$302,333.00 ","$301,333.00 ","$302,233.00 ","$307,232.00 "
"Providence, RI","$246,367.00 ","$240,900.00 ","$239,667.00 ","$243,833.00 ","$249,167.00 ","$261,167.00 ","$267,167.00 ","$271,500.00 ","$270,333.00 ","$266,000.00 ","$265,667.00 ","$263,300.00 ","$259,933.00 ","$255,933.00 ","$255,633.00 ","$260,667.00 ","$266,167.00 ","$274,183.00 ","$279,850.00 ","$281,017.00 ","$277,333.00 ","$274,667.00 ","$273,000.00 ","$270,333.00 ","$265,667.00 ","$262,300.00 ","$264,967.00 ","$271,600.00 ","$283,300.00 ","$291,633.00 ","$298,333.00 ","$298,333.00 ","$297,667.00 ","$294,317.00 ","$294,317.00 ","$290,633.00 "
"Milwaukee, WI","$180,620.00 ","$174,633.00 ","$178,067.00 ","$181,700.00 ","$192,217.00 ","$201,150.00 ","$205,783.00 ","$210,933.00 ","$205,933.00 ","$202,967.00 ","$198,967.00 ","$196,600.00 ","$188,883.00 ","$182,217.00 ","$181,750.00 ","$191,833.00 ","$198,733.00 ","$210,900.00 ","$217,900.00 ","$224,333.00 ","$219,117.00 ","$213,117.00 ","$210,867.00 ","$206,083.00 ","$199,417.00 ","$192,000.00 ","$197,917.00 ","$206,250.00 ","$212,550.00 ","$213,300.00 ","$210,133.00 ","$211,800.00 ","$210,133.00 ","$206,633.00 ","$201,667.00 ","$196,000.00 "
"Jacksonville, FL","$210,590.00 ","$209,247.00 ","$208,580.00 ","$215,172.00 ","$221,589.00 ","$226,586.00 ","$231,660.00 ","$228,997.00 ","$227,333.00 ","$223,000.00 ","$224,000.00 ","$227,333.00 ","$228,333.00 ","$231,667.00 ","$232,000.00 ","$236,667.00 ","$238,333.00 ","$243,333.00 ","$245,982.00 ","$247,315.00 ","$243,615.00 ","$241,300.00 ","$243,001.00 ","$246,368.00 ","$243,544.00 ","$242,243.00 ","$241,756.00 ","$247,247.00 ","$248,847.00 ","$250,663.00 ","$255,330.00 ","$257,978.00 ","$257,648.00 ","$253,648.00 ","$251,000.00 ","$252,663.00 "
